open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
47.16,50.9,45.75,50.6,16840600.0,002929.SZ,20260330,润建股份,NA,CNY
50.29,50.42,48.41,48.41,8895700.0,002929.SZ,20260331,润建股份,NA,CNY
49.8,51.16,49.47,49.78,12405100.0,002929.SZ,20260401,润建股份,NA,CNY
50.05,50.24,46.33,46.7,16124900.0,002929.SZ,20260402,润建股份,NA,CNY
47.59,48.47,46.05,47.16,11868900.0,002929.SZ,20260403,润建股份,NA,CNY
47.15,49.43,46.81,47.37,12482900.0,002929.SZ,20260407,润建股份,NA,CNY
48.66,52.1,48.65,52.1,25251200.0,002929.SZ,20260408,润建股份,NA,CNY
53.87,54.97,53.14,53.58,34084000.0,002929.SZ,20260409,润建股份,NA,CNY
53.64,53.84,51.65,51.74,16388400.0,002929.SZ,20260410,润建股份,NA,CNY
51.69,56.91,51.09,56.91,18467700.0,002929.SZ,20260413,润建股份,NA,CNY
58.93,61.8,57.93,59.75,36521900.0,002929.SZ,20260414,润建股份,NA,CNY
58.93,60.43,58.63,59.28,19972500.0,002929.SZ,20260415,润建股份,NA,CNY
58.94,65.21,58.92,65.21,28323100.0,002929.SZ,20260416,润建股份,NA,CNY
64.43,64.57,61.21,61.27,27075600.0,002929.SZ,20260417,润建股份,NA,CNY
60.17,61.43,58.61,59.09,20473100.0,002929.SZ,20260420,润建股份,NA,CNY
59.24,59.53,54.49,55.61,22938300.0,002929.SZ,20260421,润建股份,NA,CNY
55.42,56.93,54.39,56.58,20874000.0,002929.SZ,20260422,润建股份,NA,CNY
56.26,59.91,55.94,57.05,20125200.0,002929.SZ,20260423,润建股份,NA,CNY
57.07,57.4,54.96,56.7,15001600.0,002929.SZ,20260424,润建股份,NA,CNY
56.71,57.76,55.23,55.29,13781400.0,002929.SZ,20260427,润建股份,NA,CNY
55.29,55.84,54.07,54.92,10794900.0,002929.SZ,20260428,润建股份,NA,CNY
54.34,55.94,53.71,54.19,12555300.0,002929.SZ,20260429,润建股份,NA,CNY
56.12,59.61,55.6,59.61,30198000.0,002929.SZ,20260430,润建股份,NA,CNY
64.23,65.36,62.14,64.58,28681700.0,002929.SZ,20260506,润建股份,NA,CNY
69.92,71.04,68.62,71.04,6422500.0,002929.SZ,20260507,润建股份,NA,CNY
78.14,78.14,75.79,78.14,21296300.0,002929.SZ,20260508,润建股份,NA,CNY
78.9,80.18,74.21,77.56,52425800.0,002929.SZ,20260511,润建股份,NA,CNY
77.31,81.41,75.79,79.71,36225800.0,002929.SZ,20260512,润建股份,NA,CNY
79.91,87.68,78.56,87.68,28218000.0,002929.SZ,20260513,润建股份,NA,CNY
96.45,96.45,85.98,86.8,55662400.0,002929.SZ,20260514,润建股份,NA,CNY
88.04,95.48,86.9,92.88,57542800.0,002929.SZ,20260515,润建股份,NA,CNY
97.89,99.78,92.12,95.88,48277000.0,002929.SZ,20260518,润建股份,NA,CNY
92.09,99.97,91.22,97.67,41002300.0,002929.SZ,20260519,润建股份,NA,CNY
95.67,98.55,87.9,87.9,48208100.0,002929.SZ,20260520,润建股份,NA,CNY
87.42,89.11,80.29,80.75,43185400.0,002929.SZ,20260521,润建股份,NA,CNY
82.7,85.1,80.41,84.23,32216500.0,002929.SZ,20260522,润建股份,NA,CNY
87.9,91.58,81.66,89.1,44972300.0,002929.SZ,20260525,润建股份,NA,CNY
89.0,92.64,84.9,84.99,37128200.0,002929.SZ,20260526,润建股份,NA,CNY
84.44,84.86,77.11,77.72,37946100.0,002929.SZ,20260527,润建股份,NA,CNY
78.91,80.41,74.57,76.03,25872000.0,002929.SZ,20260528,润建股份,NA,CNY
77.91,79.35,71.92,73.12,25265200.0,002929.SZ,20260529,润建股份,NA,CNY
71.73,74.61,69.42,70.42,23388400.0,002929.SZ,20260601,润建股份,NA,CNY
70.42,72.14,68.18,69.22,19309900.0,002929.SZ,20260602,润建股份,NA,CNY
68.74,70.4,66.92,68.3,24837000.0,002929.SZ,20260603,润建股份,NA,CNY
67.42,67.92,65.23,67.14,24262500.0,002929.SZ,20260604,润建股份,NA,CNY
66.92,68.92,64.7,66.85,22341800.0,002929.SZ,20260605,润建股份,NA,CNY
63.96,65.84,61.31,62.26,20413800.0,002929.SZ,20260608,润建股份,NA,CNY
63.93,64.43,60.09,61.99,16923600.0,002929.SZ,20260609,润建股份,NA,CNY
62.03,63.23,59.67,60.28,18520300.0,002929.SZ,20260610,润建股份,NA,CNY
59.82,59.92,57.68,58.2,16688500.0,002929.SZ,20260611,润建股份,NA,CNY
59.05,61.12,58.06,58.56,17955700.0,002929.SZ,20260612,润建股份,NA,CNY
60.81,62.1,60.21,61.34,16944600.0,002929.SZ,20260615,润建股份,NA,CNY
62.56,62.6,59.98,61.03,15412100.0,002929.SZ,20260616,润建股份,NA,CNY
60.55,62.92,60.07,61.53,18404500.0,002929.SZ,20260617,润建股份,NA,CNY
62.5,64.13,61.63,62.11,24478900.0,002929.SZ,20260618,润建股份,NA,CNY
62.15,64.88,61.23,63.78,31572400.0,002929.SZ,20260622,润建股份,NA,CNY
62.64,64.9,60.93,61.45,21209400.0,002929.SZ,20260623,润建股份,NA,CNY
