open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
24.96,25.1,24.78,24.92,6768900.0,300735.SZ,20260210,光弘科技,NA,CNY
24.97,25.23,24.8,24.85,5592500.0,300735.SZ,20260211,光弘科技,NA,CNY
24.91,25.12,24.76,25.02,6539000.0,300735.SZ,20260212,光弘科技,NA,CNY
25.02,25.54,24.88,25.1,8526300.0,300735.SZ,20260213,光弘科技,NA,CNY
25.45,26.13,25.25,25.66,12814500.0,300735.SZ,20260224,光弘科技,NA,CNY
25.67,25.86,25.61,25.76,9181100.0,300735.SZ,20260225,光弘科技,NA,CNY
25.75,26.55,25.68,26.23,13296800.0,300735.SZ,20260226,光弘科技,NA,CNY
26.14,26.45,25.93,26.17,8819900.0,300735.SZ,20260227,光弘科技,NA,CNY
25.71,26.0,25.16,25.52,13644600.0,300735.SZ,20260302,光弘科技,NA,CNY
25.52,25.61,23.84,23.89,15696200.0,300735.SZ,20260303,光弘科技,NA,CNY
23.24,23.92,22.96,23.09,17202800.0,300735.SZ,20260304,光弘科技,NA,CNY
23.53,24.08,23.42,23.61,12638500.0,300735.SZ,20260305,光弘科技,NA,CNY
23.42,23.78,23.24,23.62,8127600.0,300735.SZ,20260306,光弘科技,NA,CNY
23.18,23.35,22.55,23.14,12793500.0,300735.SZ,20260309,光弘科技,NA,CNY
23.48,23.71,23.24,23.54,8462500.0,300735.SZ,20260310,光弘科技,NA,CNY
23.56,23.78,23.35,23.46,7553300.0,300735.SZ,20260311,光弘科技,NA,CNY
23.37,23.55,22.69,22.8,10855500.0,300735.SZ,20260312,光弘科技,NA,CNY
22.69,22.87,22.45,22.63,7149800.0,300735.SZ,20260313,光弘科技,NA,CNY
22.61,22.8,22.26,22.79,7488100.0,300735.SZ,20260316,光弘科技,NA,CNY
22.84,23.0,22.27,22.28,7537200.0,300735.SZ,20260317,光弘科技,NA,CNY
22.38,22.64,22.22,22.59,6892300.0,300735.SZ,20260318,光弘科技,NA,CNY
22.25,22.43,21.85,21.96,8080800.0,300735.SZ,20260319,光弘科技,NA,CNY
22.1,22.31,21.47,21.47,10563100.0,300735.SZ,20260320,光弘科技,NA,CNY
20.97,21.36,20.08,20.31,14017100.0,300735.SZ,20260323,光弘科技,NA,CNY
20.74,21.11,20.27,21.09,12332700.0,300735.SZ,20260324,光弘科技,NA,CNY
21.09,21.51,21.06,21.34,7747200.0,300735.SZ,20260325,光弘科技,NA,CNY
21.29,21.46,20.82,20.93,6060100.0,300735.SZ,20260326,光弘科技,NA,CNY
20.56,21.19,20.54,21.03,4818600.0,300735.SZ,20260327,光弘科技,NA,CNY
20.57,21.11,20.48,21.0,6589600.0,300735.SZ,20260330,光弘科技,NA,CNY
20.95,21.24,20.68,20.76,5502000.0,300735.SZ,20260331,光弘科技,NA,CNY
21.15,21.28,20.99,21.22,6562100.0,300735.SZ,20260401,光弘科技,NA,CNY
21.18,21.24,20.41,20.63,8192100.0,300735.SZ,20260402,光弘科技,NA,CNY
20.72,20.85,20.41,20.53,5861900.0,300735.SZ,20260403,光弘科技,NA,CNY
20.87,21.18,20.47,20.59,8035900.0,300735.SZ,20260407,光弘科技,NA,CNY
21.16,21.94,21.09,21.88,13745300.0,300735.SZ,20260408,光弘科技,NA,CNY
21.72,22.07,21.51,21.58,9839300.0,300735.SZ,20260409,光弘科技,NA,CNY
21.75,22.01,21.69,21.75,8540400.0,300735.SZ,20260410,光弘科技,NA,CNY
21.61,22.01,21.53,21.74,6165200.0,300735.SZ,20260413,光弘科技,NA,CNY
21.98,22.24,21.89,22.2,8801600.0,300735.SZ,20260414,光弘科技,NA,CNY
22.26,22.4,21.98,21.99,7661800.0,300735.SZ,20260415,光弘科技,NA,CNY
21.99,22.2,21.92,22.0,7515800.0,300735.SZ,20260416,光弘科技,NA,CNY
21.99,23.86,21.86,23.58,26936400.0,300735.SZ,20260417,光弘科技,NA,CNY
23.64,23.96,23.54,23.8,20109500.0,300735.SZ,20260420,光弘科技,NA,CNY
23.66,23.69,22.94,23.1,14222300.0,300735.SZ,20260421,光弘科技,NA,CNY
22.99,23.26,22.92,23.15,9903000.0,300735.SZ,20260422,光弘科技,NA,CNY
23.04,23.19,22.61,22.77,10344500.0,300735.SZ,20260423,光弘科技,NA,CNY
22.64,22.88,22.29,22.67,8714800.0,300735.SZ,20260424,光弘科技,NA,CNY
22.67,23.15,22.52,22.93,10237900.0,300735.SZ,20260427,光弘科技,NA,CNY
20.89,21.66,20.42,20.55,28660600.0,300735.SZ,20260428,光弘科技,NA,CNY
20.52,20.92,20.52,20.8,13470900.0,300735.SZ,20260429,光弘科技,NA,CNY
20.82,20.99,20.58,20.58,11048500.0,300735.SZ,20260430,光弘科技,NA,CNY
20.75,21.34,20.75,20.91,15232100.0,300735.SZ,20260506,光弘科技,NA,CNY
21.1,21.39,20.9,21.31,11905800.0,300735.SZ,20260507,光弘科技,NA,CNY
21.16,21.55,20.97,21.44,9858200.0,300735.SZ,20260508,光弘科技,NA,CNY
21.66,21.93,21.46,21.53,11561100.0,300735.SZ,20260511,光弘科技,NA,CNY
21.61,21.61,20.92,20.98,11210700.0,300735.SZ,20260512,光弘科技,NA,CNY
20.91,21.33,20.78,21.23,12878300.0,300735.SZ,20260513,光弘科技,NA,CNY
21.33,21.38,20.64,20.64,11902500.0,300735.SZ,20260514,光弘科技,NA,CNY
20.57,20.92,20.14,20.3,13049100.0,300735.SZ,20260515,光弘科技,NA,CNY
20.23,20.9,19.85,20.6,13804900.0,300735.SZ,20260518,光弘科技,NA,CNY
20.54,21.02,20.37,21.02,10029300.0,300735.SZ,20260519,光弘科技,NA,CNY
20.95,21.08,20.43,20.72,11484500.0,300735.SZ,20260520,光弘科技,NA,CNY
20.97,21.35,20.05,20.07,13100200.0,300735.SZ,20260521,光弘科技,NA,CNY
20.18,20.59,19.92,20.42,11214400.0,300735.SZ,20260522,光弘科技,NA,CNY
20.56,24.51,20.56,24.1,62029000.0,300735.SZ,20260525,光弘科技,NA,CNY
24.71,25.4,24.03,24.3,57076200.0,300735.SZ,20260526,光弘科技,NA,CNY
24.18,24.53,22.9,23.14,34941000.0,300735.SZ,20260527,光弘科技,NA,CNY
23.38,24.8,23.38,24.47,43821900.0,300735.SZ,20260528,光弘科技,NA,CNY
24.1,24.23,22.19,22.35,35683500.0,300735.SZ,20260529,光弘科技,NA,CNY
22.31,23.16,21.96,22.05,26153100.0,300735.SZ,20260601,光弘科技,NA,CNY
22.05,23.15,21.73,22.53,28768800.0,300735.SZ,20260602,光弘科技,NA,CNY
22.13,22.56,21.5,21.8,25808700.0,300735.SZ,20260603,光弘科技,NA,CNY
21.44,22.11,21.35,21.5,19596400.0,300735.SZ,20260604,光弘科技,NA,CNY
21.25,22.33,20.46,21.63,26507500.0,300735.SZ,20260605,光弘科技,NA,CNY
20.6,21.65,20.04,20.21,20301100.0,300735.SZ,20260608,光弘科技,NA,CNY
20.38,20.55,19.86,20.34,17585900.0,300735.SZ,20260609,光弘科技,NA,CNY
20.04,20.22,18.81,19.15,22122900.0,300735.SZ,20260610,光弘科技,NA,CNY
18.9,19.48,18.5,18.67,14445700.0,300735.SZ,20260611,光弘科技,NA,CNY
19.15,19.43,18.68,18.86,18540800.0,300735.SZ,20260612,光弘科技,NA,CNY
18.99,19.85,18.9,19.82,17995500.0,300735.SZ,20260615,光弘科技,NA,CNY
19.64,20.93,19.43,20.71,23707500.0,300735.SZ,20260616,光弘科技,NA,CNY
20.94,24.85,20.94,24.85,38158700.0,300735.SZ,20260617,光弘科技,NA,CNY
24.35,24.35,23.16,23.19,52264600.0,300735.SZ,20260618,光弘科技,NA,CNY
23.2,23.3,22.4,22.94,24682300.0,300735.SZ,20260622,光弘科技,NA,CNY
22.79,23.32,22.03,22.24,22333000.0,300735.SZ,20260623,光弘科技,NA,CNY
22.13,22.54,21.7,22.37,22830400.0,300735.SZ,20260624,光弘科技,NA,CNY
22.35,23.05,22.16,22.52,27583500.0,300735.SZ,20260625,光弘科技,NA,CNY
22.3,22.64,21.69,21.7,21864400.0,300735.SZ,20260626,光弘科技,NA,CNY
21.64,21.93,20.45,21.04,21985900.0,300735.SZ,20260629,光弘科技,NA,CNY
21.13,23.09,21.0,22.74,26844300.0,300735.SZ,20260630,光弘科技,NA,CNY
22.6,23.18,22.38,22.56,21783700.0,300735.SZ,20260701,光弘科技,NA,CNY
22.45,22.45,21.52,21.6,17403400.0,300735.SZ,20260702,光弘科技,NA,CNY
21.7,22.64,21.17,22.2,22622200.0,300735.SZ,20260703,光弘科技,NA,CNY
22.2,23.61,21.4,23.05,34451400.0,300735.SZ,20260706,光弘科技,NA,CNY
22.4,23.12,22.0,22.26,25068500.0,300735.SZ,20260707,光弘科技,NA,CNY
22.17,22.8,21.44,21.74,23707900.0,300735.SZ,20260708,光弘科技,NA,CNY
21.66,22.49,20.8,22.18,24143200.0,300735.SZ,20260709,光弘科技,NA,CNY
21.97,24.05,21.8,22.95,44249600.0,300735.SZ,20260710,光弘科技,NA,CNY
22.67,23.66,22.33,22.58,28757200.0,300735.SZ,20260713,光弘科技,NA,CNY
22.52,23.5,21.52,22.05,30937900.0,300735.SZ,20260714,光弘科技,NA,CNY
21.73,22.02,20.61,21.46,25273100.0,300735.SZ,20260715,光弘科技,NA,CNY
21.23,22.35,21.16,21.53,24474400.0,300735.SZ,20260716,光弘科技,NA,CNY
21.26,21.36,19.41,19.44,28348800.0,300735.SZ,20260717,光弘科技,NA,CNY
19.44,19.69,18.21,18.58,19428600.0,300735.SZ,20260720,光弘科技,NA,CNY
18.78,19.22,17.77,19.15,17599000.0,300735.SZ,20260721,光弘科技,NA,CNY
19.11,20.33,18.81,19.47,21230200.0,300735.SZ,20260722,光弘科技,NA,CNY
19.28,19.86,18.92,19.12,14342100.0,300735.SZ,20260723,光弘科技,NA,CNY
18.81,19.19,18.68,18.75,9707400.0,300735.SZ,20260724,光弘科技,NA,CNY
18.93,19.33,18.52,19.3,10096900.0,300735.SZ,20260727,光弘科技,NA,CNY
19.0,19.22,18.62,18.65,11499600.0,300735.SZ,20260728,光弘科技,NA,CNY
18.65,19.11,18.5,18.99,12966700.0,300735.SZ,20260729,光弘科技,NA,CNY
18.75,18.98,18.22,18.32,12822900.0,300735.SZ,20260730,光弘科技,NA,CNY
19.0,19.37,18.66,18.7,17817100.0,300735.SZ,20260731,光弘科技,NA,CNY
18.7,19.37,18.66,19.28,12326400.0,300735.SZ,20260803,光弘科技,NA,CNY
19.35,20.68,19.22,20.63,21807900.0,300735.SZ,20260804,光弘科技,NA,CNY
20.28,21.27,20.28,20.76,19915200.0,300735.SZ,20260805,光弘科技,NA,CNY
20.5,21.5,20.35,20.79,15324500.0,300735.SZ,20260806,光弘科技,NA,CNY
20.88,20.95,20.31,20.48,16877900.0,300735.SZ,20260807,光弘科技,NA,CNY
20.6,20.79,20.18,20.71,13618400.0,300735.SZ,20260810,光弘科技,NA,CNY
20.55,20.93,20.48,20.58,8884400.0,300735.SZ,20260811,光弘科技,NA,CNY
20.57,20.98,20.38,20.75,10746000.0,300735.SZ,20260812,光弘科技,NA,CNY
20.82,21.72,20.75,20.97,17569900.0,300735.SZ,20260813,光弘科技,NA,CNY
20.99,21.36,20.5,20.93,10975700.0,300735.SZ,20260814,光弘科技,NA,CNY
20.88,21.2,20.66,21.19,9468500.0,300735.SZ,20260817,光弘科技,NA,CNY
21.43,21.56,20.27,20.5,15657700.0,300735.SZ,20260818,光弘科技,NA,CNY
20.2,20.63,19.36,19.4,15613600.0,300735.SZ,20260819,光弘科技,NA,CNY
19.8,20.01,19.5,19.7,11572000.0,300735.SZ,20260820,光弘科技,NA,CNY
